date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,,weekly_posts
2022-07-02,6597881,1016,3027,2.12%,138525.7,988.9,0.71%,,6
2022-07-01,6558889,1017,3023,2.01%,130853,963.6,0.74%,,7
2022-06-30,6537654,1016,3020,1.53%,98907.3,779.7,0.79%,,7
2022-06-29,6512340,1015,3017,1.52%,98040.3,776,0.79%,,5
2022-06-28,6506391,1015,3015,1.55%,99783.8,757.8,0.76%,,5
2022-06-27,6499353,1015,3014,1.53%,98703.8,751.7,0.76%,,5
2022-06-26,6496277,1014,3014,1.45%,93486.1,791.1,0.85%,,5
2022-06-25,6493251,1014,3014,1.51%,97075.7,812.9,0.84%,,5
2022-06-24,6489990,1013,3013,1.53%,98180.2,821.3,0.84%,,4
2022-06-23,6487630,1014,3012,1.52%,97452.8,817.3,0.84%,,3
2022-06-22,6483880,1014,3012,1.40%,89645.7,784.1,0.88%,,3
2022-06-21,6482188,1014,3010,1.54%,98785.4,804.8,0.82%,,3
2022-06-20,6479797,1016,3009,1.53%,98499.7,803.3,0.82%,,2
2022-06-19,6476539,1015,3008,1.52%,97859,800.8,0.82%,,2
2022-06-18,6469363,1015,3008,1.48%,95166.9,795.4,0.84%,,2
2022-06-17,6465927,1015,3007,1.48%,94918.2,793.8,0.84%,,2
2022-06-16,6461626,1015,3006,1.47%,94305.2,789.3,0.84%,,2
2022-06-15,6457939,1015,3006,1.84%,118342.6,721.1,0.61%,,2
2022-06-14,6457476,1014,3005,1.84%,118110.8,718.7,0.61%,,2
2022-06-13,6453939,1015,3005,1.84%,117921.9,715.8,0.61%,,2
2022-06-12,6451871,1016,3005,1.83%,117505.9,711.8,0.61%,,2
2022-06-11,6447885,1014,3005,1.84%,118128.1,673.2,0.57%,,2
2022-06-10,6445324,1017,3004,1.84%,117880.5,669.8,0.57%,,1
2022-06-09,6443218,1018,3004,1.83%,117327.5,665.6,0.57%,,1
2022-06-08,6439635,1018,3004,1.79%,114364.8,642.8,0.56%,,2
2022-06-07,6431032,1017,3003,1.78%,113690,636.2,0.56%,,1
2022-06-06,6425190,1016,3003,1.77%,113311.9,630.6,0.56%,,2
2022-06-05,6424852,1016,3003,1.77%,113164.6,628.1,0.56%,,2
2022-06-04,6423700,1015,3003,1.77%,112968.3,624.8,0.55%,,3
2022-06-03,6422663,1015,3003,1.76%,112611.6,617.4,0.55%,,3
2022-06-02,6420784,1015,3003,1.86%,118831.3,738.8,0.62%,,3
2022-06-01,6418478,1015,3002,1.85%,118138.4,732.4,0.62%,,2
2022-05-31,6417575,1015,3002,1.93%,122969.7,722.2,0.59%,,2
2022-05-30,6416738,1013,3001,1.92%,122138.3,719.8,0.59%,,1
2022-05-29,6410899,1016,3001,1.92%,122319.9,731.7,0.60%,,1
2022-05-28,6411724,1016,3000,1.91%,122000.2,730.1,0.60%,,0
2022-05-27,6408485,1016,3000,1.91%,121760.2,727.9,0.60%,,0
2022-05-26,6412744,1016,3000,1.91%,121508.4,725.2,0.60%,,1
2022-05-25,6412870,1016,3000,1.90%,121275.3,722,0.60%,,1
2022-05-24,6409916,1016,3000,1.90%,121100.4,720,0.60%,,1
2022-05-23,6408277,1016,3000,1.90%,120905.2,718,0.59%,,2
2022-05-22,6406737,1015,3000,1.90%,120722.5,715.3,0.59%,,2
2022-05-21,6405870,1014,3000,1.89%,120313.1,710.1,0.59%,,2
2022-05-20,6404853,1013,3000,1.85%,117809.8,661.6,0.56%,,2
2022-05-19,6404706,1013,2999,1.85%,117531.1,659.9,0.56%,,1
2022-05-18,6401760,1014,2999,1.83%,116674.3,656.9,0.56%,,1
2022-05-17,6389615,1014,2999,1.87%,118715,718.3,0.61%,,1
2022-05-16,6388789,1013,2998,1.87%,118467.9,716.8,0.61%,,0
2022-05-15,6388072,1014,2998,1.86%,118291.1,715.9,0.61%,,1
2022-05-14,6386749,1014,2998,1.86%,118097.5,714.3,0.61%,,2
2022-05-13,6384277,1014,2998,1.86%,117851.8,711.1,0.60%,,2
2022-05-12,6380874,1015,2998,1.85%,117581.3,709.3,0.60%,,2
2022-05-11,6377886,1015,2998,1.85%,117038.4,704,0.60%,,2
2022-05-10,6377011,1014,2998,1.85%,117478.4,710.4,0.61%,,2
2022-05-09,6372673,1015,2997,1.85%,117082.7,707.6,0.60%,,1
2022-05-08,6371024,1014,2997,2.23%,141519.7,799.1,0.57%,,1
2022-05-07,6365969,1014,2996,2.23%,141139.5,797.8,0.57%,,0
2022-05-06,6364062,1014,2996,2.23%,141024.4,795.7,0.56%,,0
2022-05-05,6363675,1013,2996,2.23%,140881,794.6,0.56%,,0
2022-05-04,6359688,1015,2996,2.23%,140718.2,792.3,0.56%,,0
2022-05-03,6358817,1015,2996,2.22%,140518.8,789.7,0.56%,,0
2022-05-02,6359417,1014,2996,2.22%,140299.6,788.5,0.56%,,0
2022-05-01,6358827,1015,2996,2.22%,140047.8,787.3,0.56%,,0
2022-04-30,6360482,1013,2996,2.21%,139932.5,786.8,0.56%,,0
2022-04-29,6361263,1011,2996,2.21%,139783.4,785.4,0.56%,,0
2022-04-28,6363237,1011,2996,2.21%,139631.8,784.3,0.56%,,1
2022-04-27,6360750,1008,2996,2.20%,139430.5,782.9,0.56%,,1
2022-04-26,6360131,1009,2996,2.20%,139205.5,781.5,0.56%,,2
2022-04-25,6356589,1010,2996,2.20%,139021.1,780.3,0.56%,,2
2022-04-24,6351664,1011,2996,2.19%,138592.3,777.9,0.56%,,2
2022-04-23,6353920,1012,2996,2.18%,137439.3,773.8,0.56%,,3
2022-04-22,6353330,1010,2996,2.13%,134405.3,760,0.57%,,4
2022-04-21,6347945,1010,2995,2.12%,133896.3,759.2,0.57%,,3
2022-04-20,6346454,1011,2995,2.39%,150755.9,806.7,0.54%,,4
2022-04-19,6339528,1009,2994,2.38%,150093.5,805.8,0.54%,,3
2022-04-18,6330665,1010,2994,2.35%,148014.1,804.4,0.54%,,3
2022-04-17,6326837,1009,2994,1.99%,125337.7,822,0.66%,,3
2022-04-16,6324203,1009,2993,2.31%,145349.7,1014.5,0.70%,,2
2022-04-15,6319847,1010,2992,2.53%,158818.1,1089.4,0.69%,,2
2022-04-14,6318154,1010,2992,2.53%,158673.3,1088.8,0.69%,,2
2022-04-13,6317848,1007,2991,2.53%,158479.3,1086.2,0.69%,,2
2022-04-12,6310675,1010,2991,2.53%,158241.3,1081.8,0.68%,,2
2022-04-11,6307012,1010,2991,2.52%,157737.9,1076.9,0.68%,,2
2022-04-10,6302366,1012,2991,2.55%,160004.1,957,0.60%,,2
2022-04-09,6297475,1013,2991,2.55%,159652.3,954.5,0.60%,,2
2022-04-08,6292808,1013,2990,2.53%,158538.8,949.2,0.60%,,2
2022-04-07,6287987,1014,2990,2.64%,164729.5,993.8,0.60%,,2
2022-04-06,6285907,1015,2989,2.63%,164546.9,993.1,0.60%,,1
2022-04-05,6281359,1014,2989,2.63%,164391.2,992,0.60%,,2
2022-04-04,6281219,1014,2989,2.63%,164144.7,990.3,0.60%,,2
2022-04-03,6279576,1013,2989,2.62%,163790.2,987.3,0.60%,,2
2022-04-02,6278693,1012,2989,2.83%,176464,1056.1,0.60%,,2
2022-04-01,6277680,1010,2988,2.83%,176294.4,1055.3,0.60%,,1
2022-03-31,6275281,1010,2988,2.82%,176066.9,1053.3,0.60%,,1
2022-03-30,6272667,1009,2988,3.28%,204304.4,1144.3,0.56%,,1
2022-03-29,6268460,1010,2987,3.28%,204151.3,1143.7,0.56%,,0
2022-03-28,6264684,1010,2987,3.28%,203995.3,1143,0.56%,,0
2022-03-27,6262114,1010,2987,3.27%,203823.9,1141.4,0.56%,,0
2022-03-26,6259066,1009,2987,3.27%,203572.8,1139.9,0.56%,,1
2022-03-25,6256108,1009,2987,3.26%,202870.3,1136.3,0.56%,,2
2022-03-24,6254698,1007,2986,3.26%,202586.5,1133.8,0.56%,,2
2022-03-23,6251059,1007,2986,3.26%,202372.9,1132.8,0.56%,,2
2022-03-22,6248113,1007,2986,3.25%,202163.1,1129.9,0.56%,,2
2022-03-21,6244978,1007,2986,3.24%,201489.2,1124.8,0.56%,,2
2022-03-20,6240500,1007,2986,3.61%,223862.1,1305.4,0.58%,,2
2022-03-19,6233909,1007,2985,3.61%,223665.7,1304.6,0.58%,,2
2022-03-18,6222230,1006,2984,3.61%,223383.7,1303.2,0.58%,,2
2022-03-17,6196948,1005,2984,3.62%,222894.4,1300.8,0.58%,,4
2022-03-16,6166219,1007,2984,3.63%,222258.8,1298.1,0.58%,,4
2022-03-15,6154762,1006,2984,3.62%,221441.4,1294.4,0.59%,,4
2022-03-14,6151950,1005,2983,3.56%,217600.7,1283,0.59%,,4
2022-03-13,6150100,1007,2983,4.44%,270634.1,2123.7,0.79%,,4
2022-03-12,6149935,1007,2982,4.57%,278700.8,2258.8,0.81%,,3
2022-03-11,6148611,1007,2981,5.39%,328611.7,2741.8,0.83%,,2
2022-03-10,6147406,1007,2978,5.39%,328336.8,2739.2,0.83%,,0
2022-03-09,6146790,1009,2978,5.38%,328126.3,2704.7,0.82%,,0
