date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts
2024-11-25,8678403,1320,3367,1.371%,117920.2,1095.3,0.929%,1.00
2024-11-24,8678401,1322,3367,1.371%,117875.2,1093.8,0.928%,1.00
2024-11-23,8678273,1321,3367,1.370%,117826.3,1093.2,0.928%,1.00
2024-11-22,8678252,1318,3367,1.370%,117766.1,1091.7,0.927%,1.00
2024-11-21,8678655,1317,3366,1.369%,117685.3,1090.3,0.926%,1.00
2024-11-20,8677565,1316,3366,1.368%,117587.9,1087.1,0.924%,1.00
2024-11-19,8678878,1315,3366,1.421%,122198.3,1132.6,0.927%,1.00
2024-11-18,8677287,1315,3365,1.420%,122084.3,1131.1,0.926%,0.00
2024-11-17,8676351,1317,3365,1.418%,121928.0,1129.4,0.926%,0.00
2024-11-16,8673501,1315,3365,1.417%,121753.3,1127.4,0.926%,0.00
2024-11-15,8673759,1316,3365,1.415%,121612.5,1126.0,0.926%,0.00
2024-11-14,8673597,1317,3365,1.414%,121497.5,1124.7,0.926%,0.00
2024-11-13,8673901,1316,3365,1.412%,121394.5,1120.8,0.923%,1.00
2024-11-12,8675402,1315,3365,1.411%,121256.5,1118.8,0.923%,2.00
2024-11-11,8676819,1312,3365,1.409%,121110.0,1115.8,0.921%,2.00
2024-11-10,8677775,1311,3365,1.406%,120936.9,1110.5,0.918%,3.00
2024-11-09,8678876,1308,3365,1.403%,120696.0,1105.7,0.916%,3.00
2024-11-08,8680583,1307,3365,1.396%,120125.2,1096.3,0.913%,3.00
2024-11-07,8682579,1307,3365,1.174%,101209.8,715.1,0.707%,3.00
2024-11-06,8687461,1305,3364,1.170%,100972.6,713.9,0.707%,2.00
2024-11-05,8704741,1305,3363,1.161%,100329.7,711.8,0.709%,1.00
2024-11-04,8711832,1305,3363,1.133%,98026.4,717.9,0.732%,1.00
2024-11-03,8716575,1305,3362,1.131%,97908.9,716.8,0.732%,1.00
2024-11-02,8718599,1302,3362,1.130%,97783.1,715.2,0.731%,2.00
2024-11-01,8718487,1301,3362,1.128%,97625.6,712.4,0.730%,2.00
2024-10-31,8719031,1301,3362,1.126%,97463.6,710.3,0.729%,3.00
2024-10-30,8723007,1301,3362,1.122%,97156.7,706.6,0.727%,3.00
2024-10-29,8723629,1299,3362,1.112%,96328.3,699.6,0.726%,3.00
2024-10-28,8725020,1296,3362,1.187%,102881.8,721.0,0.701%,3.00
2024-10-27,8726361,1295,3361,1.735%,150325.8,1038.8,0.691%,3.00
2024-10-26,8726142,1295,3360,1.729%,149825.3,1036.3,0.692%,2.00
2024-10-25,8727231,1294,3360,2.189%,189285.9,1718.5,0.908%,2.00
2024-10-24,8727649,1292,3359,2.187%,189138.9,1717.2,0.908%,1.00
